herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0089,Eucalyptus,Eucalyptus globulus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Eucalyptus_globulus_subsp._maidenii.jpg/250px-Eucalyptus_globulus_subsp._maidenii.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Eucalyptus_globulus
HERB-0090,Marshmallow root,Althaea officinalis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Althaea_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-008.jpg/250px-Althaea_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-008.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Althaea_officinalis
HERB-0091,Slippery elm,Ulmus rubra,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Mature_Ulmus_rubra_in_graveyard.jpg/250px-Mature_Ulmus_rubra_in_graveyard.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Ulmus_rubra
HERB-0092,Stinging nettle leaf,Urtica dioica,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Fen_nettle_%28Urtica_dioica_ssp._galeopsifolia%29_-_geograph.org.uk_-_5423125.jpg/250px-Fen_nettle_%28Urtica_dioica_ssp._galeopsifolia%29_-_geograph.org.uk_-_5423125.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Urtica_dioica
HERB-0093,Burdock root,Arctium lappa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/ArctiumLappa1.jpg/250px-ArctiumLappa1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Arctium_lappa
HERB-0094,Red clover,Trifolium pratense,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Trifolium_pratense_-_Keila2.jpg/250px-Trifolium_pratense_-_Keila2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Trifolium_pratense
HERB-0095,Evening primrose oil,Oenothera biennis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Oenothera_biennis%2C_Vic-la-Gardiole_01.jpg/250px-Oenothera_biennis%2C_Vic-la-Gardiole_01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Oenothera_biennis
HERB-0096,Devil's claw,Harpagophytum procumbens,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Harpagophytum_5.jpg/250px-Harpagophytum_5.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Harpagophytum
HERB-0097,Boswellia,Boswellia serrata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Boswellia_serrata_%28Salai%29_in_Kinnarsani_WS%2C_AP_W2_IMG_5840.jpg/250px-Boswellia_serrata_%28Salai%29_in_Kinnarsani_WS%2C_AP_W2_IMG_5840.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Boswellia_serrata
HERB-0098,Ashwagandha,Withania somnifera,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/WithaniaFruit.jpg/250px-WithaniaFruit.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Withania_somnifera
HERB-0099,Rhodiola,Rhodiola rosea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Rhodiola_rosea_a2.jpg/250px-Rhodiola_rosea_a2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Rhodiola_rosea
HERB-0100,Holy basil,Ocimum tenuiflorum,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tulsi_or_Tulasi_Holy_basil.jpg/250px-Tulsi_or_Tulasi_Holy_basil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
